dominant_dictionary_topic,ticker,quarter,total_mentions,avg_sentiment,sum_sentiment,quarter_total_mentions,mention_percentage,weighted_sentiment
financial_risk,NBR,2014Q4,1,-2,-2,81,0.012345679,-0.024691358
financial_risk,NBR,2015Q1,1,-1,-1,73,0.01369863,-0.01369863
financial_risk,NBR,2015Q2,1,0,0,59,0.016949153,0
financial_risk,NBR,2015Q3,1,1,1,95,0.010526316,0.010526316
financial_risk,NBR,2017Q4,1,0,0,125,0.008,0
financial_risk,NBR,2018Q1,1,0,0,94,0.010638298,0
financial_risk,NBR,2020Q1,1,1,1,213,0.004694836,0.004694836
financial_risk,NBR,2023Q2,2,-0.5,-1,212,0.009433962,-0.009433962
financial_risk,NBR,2023Q3,1,0,0,137,0.00729927,0
financial_risk,NBR,2024Q3,1,1,1,163,0.006134969,0.006134969
financial_risk,NBR,2024Q4,1,-1,-1,146,0.006849315,-0.006849315
financial_risk,NES,2013Q4,1,0,0,41,0.024390244,0
financial_risk,NES,2019Q1,2,0,0,140,0.014285714,0
financial_risk,NES,2020Q1,1,0,0,213,0.004694836,0
financial_risk,NES,2020Q4,1,0,0,180,0.005555556,0
financial_risk,NES,2024Q3,1,0,0,163,0.006134969,0
financial_risk,NEX,2008Q4,1,0,0,18,0.055555556,0
financial_risk,NEX,2013Q3,1,0,0,55,0.018181818,0
financial_risk,NEX,2016Q4,2,0,0,73,0.02739726,0
financial_risk,NEX,2017Q1,2,0,0,73,0.02739726,0
financial_risk,NEX,2017Q2,1,1,1,98,0.010204082,0.010204082
financial_risk,NEX,2018Q1,3,0,0,94,0.031914894,0
financial_risk,NEX,2018Q2,1,0,0,130,0.007692308,0
financial_risk,NEX,2018Q4,2,0,0,143,0.013986014,0
financial_risk,NEX,2019Q3,3,0.333333333,1,157,0.01910828,0.01910828
financial_risk,NEX,2020Q1,1,0,0,213,0.004694836,0
financial_risk,NEX,2020Q2,2,0,0,190,0.010526316,0
financial_risk,NEX,2023Q2,1,-1,-1,212,0.004716981,-0.004716981
financial_risk,NEX,2024Q1,1,0,0,128,0.0078125,0
financial_risk,PDCE,2019Q1,1,1,1,140,0.007142857,0.007142857
financial_risk,PDCE,2019Q3,1,2,2,157,0.006369427,0.012738854
financial_risk,PDCE,2020Q2,1,-1,-1,190,0.005263158,-0.005263158
financial_risk,PDCE,2020Q4,3,0,0,180,0.016666667,0
financial_risk,PDCE,2024Q3,2,1.5,3,163,0.012269939,0.036809816
financial_risk,PDS,2024Q4,3,0,0,146,0.020547945,0
financial_risk,PED,2015Q1,1,-2,-2,73,0.01369863,-0.02739726
financial_risk,PED,2022Q3,1,1,1,103,0.009708738,0.009708738
