dominant_LDA_topic,ticker,quarter,total_mentions,avg_sentiment,sum_sentiment,quarter_total_mentions,mention_percentage,weighted_sentiment
3,PDCE,2020Q2,1,-1,-1,190,0.005263158,-0.005263158
3,PDCE,2020Q3,1,0,0,144,0.006944444,0
3,PDCE,2020Q4,2,0.5,1,180,0.011111111,0.011111111
3,PDCE,2022Q1,1,1,1,150,0.006666667,0.006666667
3,PDCE,2022Q2,1,0,0,131,0.007633588,0
3,PDCE,2023Q2,2,0,0,212,0.009433962,0
3,PDCE,2023Q4,2,0.5,1,130,0.015384615,0.015384615
3,PDCE,2024Q3,2,1.5,3,163,0.012269939,0.036809816
3,PDS,2024Q4,3,0,0,146,0.020547945,0
3,PED,2024Q4,1,-1,-1,146,0.006849315,-0.006849315
3,PHX,2010Q3,1,-1,-1,92,0.010869565,-0.010869565
3,PHX,2024Q4,1,-1,-1,146,0.006849315,-0.006849315
3,PNRG,2024Q3,1,-1,-1,163,0.006134969,-0.006134969
3,PR,2017Q2,1,0,0,98,0.010204082,0
3,PR,2020Q2,1,0,0,190,0.005263158,0
3,PR,2021Q1,1,0,0,215,0.004651163,0
3,PR,2022Q1,1,1,1,150,0.006666667,0.006666667
3,PR,2024Q3,5,-0.6,-3,163,0.030674847,-0.09202454
3,PR,2024Q4,1,-1,-1,146,0.006849315,-0.006849315
3,PTEN,2004Q2,1,1,1,11,0.090909091,0.090909091
3,PTEN,2005Q1,1,-1,-1,17,0.058823529,-0.058823529
3,PTEN,2005Q3,1,1,1,6,0.166666667,0.166666667
3,PTEN,2005Q4,2,-1.5,-3,17,0.117647059,-0.352941176
3,PTEN,2009Q2,1,-1,-1,15,0.066666667,-0.066666667
3,PTEN,2009Q3,1,1,1,27,0.037037037,0.037037037
3,PTEN,2010Q1,1,1,1,25,0.04,0.04
3,PTEN,2010Q3,1,-1,-1,92,0.010869565,-0.010869565
3,PTEN,2011Q3,1,1,1,28,0.035714286,0.035714286
3,PTEN,2015Q2,1,-1,-1,59,0.016949153,-0.016949153
3,PTEN,2016Q4,2,1.5,3,73,0.02739726,0.082191781
3,PTEN,2017Q3,1,1,1,112,0.008928571,0.008928571
3,PTEN,2019Q2,1,2,2,154,0.006493506,0.012987013
3,PTEN,2019Q3,1,-2,-2,157,0.006369427,-0.012738854
3,PTEN,2020Q1,1,-1,-1,213,0.004694836,-0.004694836
3,PTEN,2021Q1,1,1,1,215,0.004651163,0.004651163
3,PTEN,2023Q2,3,0.666666667,2,212,0.014150943,0.028301887
3,PTEN,2024Q3,1,2,2,163,0.006134969,0.012269939
3,PTEN,2024Q4,2,-1,-2,146,0.01369863,-0.02739726
3,PUMP,2017Q2,2,1.5,3,98,0.020408163,0.06122449
3,PUMP,2019Q3,1,1,1,157,0.006369427,0.006369427
3,PUMP,2019Q4,3,-1,-3,172,0.01744186,-0.052325581
3,PUMP,2020Q2,2,-0.5,-1,190,0.010526316,-0.010526316
3,PUMP,2021Q2,2,0,0,193,0.010362694,0
