dominant_dictionary_topic,dominant_LDA_topic,ticker,quarter,total_mentions,avg_market_impact,sum_market_impact,quarter_total_mentions,mention_percentage,weighted_market_impact
demand_side,3,HP,2019Q4,1,0.0,0.0,2,0.5,0.0
demand_side,3,HP,2022Q1,3,-0.6666666666666666,-2.0,3,1.0,-2.0
demand_side,3,HP,2022Q3,1,-1.0,-1.0,3,0.3333333333333333,-0.3333333333333333
demand_side,3,HP,2023Q3,1,0.0,0.0,1,1.0,0.0
demand_side,3,KGS,2024Q3,1,1.0,1.0,4,0.25,0.25
demand_side,3,NBR,2010Q1,1,1.0,1.0,3,0.3333333333333333,0.3333333333333333
demand_side,3,NEX,2019Q3,1,-1.0,-1.0,5,0.2,-0.2
demand_side,3,NEX,2023Q2,1,0.0,0.0,1,1.0,0.0
demand_side,3,PDCE,2020Q2,1,-1.0,-1.0,8,0.125,-0.125
demand_side,3,PDCE,2023Q4,1,0.0,0.0,5,0.2,0.0
demand_side,3,PTEN,2010Q1,1,1.0,1.0,3,0.3333333333333333,0.3333333333333333
demand_side,3,PTEN,2010Q3,1,-1.0,-1.0,3,0.3333333333333333,-0.3333333333333333
demand_side,3,PUMP,2021Q2,1,-1.0,-1.0,3,0.3333333333333333,-0.3333333333333333
demand_side,3,RIG,2012Q1,1,-1.0,-1.0,1,1.0,-1.0
demand_side,3,RIG,2018Q3,1,1.0,1.0,1,1.0,1.0
demand_side,3,RIG,2019Q4,1,-2.0,-2.0,2,0.5,-1.0
demand_side,3,SD,2018Q2,1,1.0,1.0,6,0.16666666666666666,0.16666666666666666
demand_side,3,SLB,2004Q3,1,-1.0,-1.0,1,1.0,-1.0
demand_side,3,SLB,2012Q2,2,-1.5,-3.0,4,0.5,-1.5
demand_side,3,SLB,2013Q2,1,1.0,1.0,4,0.25,0.25
demand_side,3,SLB,2016Q2,1,1.0,1.0,2,0.5,0.5
demand_side,3,SLB,2017Q3,1,-1.0,-1.0,4,0.25,-0.25
demand_side,3,SLB,2018Q2,2,0.0,0.0,6,0.3333333333333333,0.0
demand_side,3,SLB,2019Q3,1,1.0,1.0,5,0.2,0.2
demand_side,3,SLB,2020Q1,3,0.3333333333333333,1.0,6,0.5,0.5
demand_side,3,SLB,2020Q3,1,-1.0,-1.0,1,1.0,-1.0
demand_side,3,SLB,2021Q1,1,1.0,1.0,2,0.5,0.5
demand_side,3,SLB,2021Q2,1,-1.0,-1.0,3,0.3333333333333333,-0.3333333333333333
demand_side,3,SLB,2021Q3,6,0.5,3.0,13,0.46153846153846156,1.3846153846153846
demand_side,3,SLB,2022Q3,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,3,SLB,2023Q1,1,2.0,2.0,1,1.0,2.0
demand_side,3,SLB,2023Q4,1,0.0,0.0,5,0.2,0.0
demand_side,3,STR,2019Q1,1,-1.0,-1.0,2,0.5,-0.5
demand_side,3,STR,2022Q3,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,3,VTLE,2024Q3,1,1.0,1.0,4,0.25,0.25
demand_side,3,WLL,2020Q2,3,-2.0,-6.0,8,0.375,-2.25
demand_side,4,APA,2022Q4,1,0.0,0.0,2,0.5,0.0
demand_side,4,EQT,2006Q3,1,0.0,0.0,1,1.0,0.0
demand_side,4,EQT,2018Q3,1,0.0,0.0,1,1.0,0.0
demand_side,4,EQT,2019Q3,1,0.0,0.0,1,1.0,0.0
demand_side,4,EQT,2021Q1,1,0.0,0.0,2,0.5,0.0
demand_side,4,EQT,2022Q4,1,0.0,0.0,2,0.5,0.0
demand_side,4,EQT,2023Q1,1,0.0,0.0,1,1.0,0.0
demand_side,4,NEX,2022Q1,1,0.0,0.0,2,0.5,0.0
demand_side,4,NEX,2023Q4,1,0.0,0.0,1,1.0,0.0
demand_side,4,PED,2022Q1,1,0.0,0.0,2,0.5,0.0
demand_side,4,SLB,2021Q1,1,0.0,0.0,2,0.5,0.0
demand_side,4,STR,2024Q2,1,-1.0,-1.0,1,1.0,-1.0
esg_regulation,0,APA,2011Q1,1,0.0,0.0,2,0.5,0.0
esg_regulation,0,APA,2020Q1,1,0.0,0.0,3,0.3333333333333333,0.0
esg_regulation,0,AR,2015Q3,1,0.0,0.0,1,1.0,0.0
esg_regulation,0,AR,2023Q2,1,0.0,0.0,3,0.3333333333333333,0.0
esg_regulation,0,CPE,2020Q3,1,0.0,0.0,2,0.5,0.0
esg_regulation,0,CPE,2021Q1,1,0.0,0.0,3,0.3333333333333333,0.0
esg_regulation,0,CRC,2015Q2,1,0.0,0.0,1,1.0,0.0
esg_regulation,0,CRC,2021Q4,1,0.0,0.0,6,0.16666666666666666,0.0
esg_regulation,0,DCP,2021Q3,1,0.0,0.0,3,0.3333333333333333,0.0
esg_regulation,0,EQT,2020Q1,1,0.0,0.0,3,0.3333333333333333,0.0
esg_regulation,0,EQT,2020Q2,1,0.0,0.0,1,1.0,0.0
esg_regulation,0,EQT,2023Q2,1,0.0,0.0,3,0.3333333333333333,0.0
esg_regulation,0,FANG,2016Q4,1,0.0,0.0,1,1.0,0.0
esg_regulation,0,FANG,2017Q4,1,0.0,0.0,1,1.0,0.0
esg_regulation,0,FANG,2018Q1,1,0.0,0.0,2,0.5,0.0
esg_regulation,0,FANG,2018Q2,1,0.0,0.0,2,0.5,0.0
esg_regulation,0,FANG,2018Q3,2,0.0,0.0,2,1.0,0.0
esg_regulation,0,FANG,2018Q4,1,0.0,0.0,1,1.0,0.0
esg_regulation,0,HP,2010Q3,1,0.0,0.0,1,1.0,0.0
esg_regulation,0,HP,2013Q2,1,0.0,0.0,1,1.0,0.0
esg_regulation,0,HP,2019Q4,1,0.0,0.0,1,1.0,0.0
esg_regulation,0,HP,2020Q3,1,0.0,0.0,2,0.5,0.0
esg_regulation,0,HP,2020Q4,1,0.0,0.0,1,1.0,0.0
esg_regulation,0,HP,2021Q3,1,-1.0,-1.0,3,0.3333333333333333,-0.3333333333333333
esg_regulation,0,HP,2021Q4,2,0.0,0.0,6,0.3333333333333333,0.0
esg_regulation,0,HP,2022Q1,1,0.0,0.0,1,1.0,0.0
esg_regulation,0,HP,2022Q3,1,0.0,0.0,3,0.3333333333333333,0.0
esg_regulation,0,HP,2022Q4,1,0.0,0.0,3,0.3333333333333333,0.0
esg_regulation,0,NES,2017Q1,1,1.0,1.0,1,1.0,1.0
esg_regulation,0,NES,2018Q2,1,-1.0,-1.0,2,0.5,-0.5
esg_regulation,0,NES,2019Q2,1,0.0,0.0,1,1.0,0.0
esg_regulation,0,NEX,2024Q4,1,0.0,0.0,2,0.5,0.0
esg_regulation,0,PED,2003Q2,1,1.0,1.0,1,1.0,1.0
esg_regulation,0,PED,2022Q3,1,0.0,0.0,3,0.3333333333333333,0.0
esg_regulation,0,RES,2024Q4,1,0.0,0.0,2,0.5,0.0
esg_regulation,0,SLB,2021Q1,2,0.0,0.0,3,0.6666666666666666,0.0
esg_regulation,0,SLB,2021Q4,3,-0.3333333333333333,-1.0,6,0.5,-0.5
esg_regulation,0,SLB,2022Q4,1,0.0,0.0,3,0.3333333333333333,0.0
esg_regulation,0,SLB,2023Q2,1,0.0,0.0,3,0.3333333333333333,0.0
esg_regulation,0,SLB,2023Q3,3,-0.3333333333333333,-1.0,3,1.0,-1.0
esg_regulation,0,SLB,2023Q4,1,0.0,0.0,1,1.0,0.0
esg_regulation,0,SLB,2024Q2,1,0.0,0.0,2,0.5,0.0
esg_regulation,0,STR,2020Q1,1,0.0,0.0,3,0.3333333333333333,0.0
