date,source,supply_side,demand_side,financial_risk,geopolitical_risk,esg_regulation,natural_factor
2023-02-05,The_Jakarta_Post,0,0,0,0,0,1
2021-12-03,The_Jakarta_Post,0,0,0,0,0,1
2021-08-26,Thomson_Reuters,0,0,0,0,0,1
2021-05-02,New_Strait_Times,0,0,0,0,0,1
2021-08-20,New_Strait_Times,0,0,0,0,0,1
2020-04-28,The_Jakarta_Post,0,0,0,0,0,1
2021-04-14,New_Strait_Times,0,0,0,0,0,1
2021-03-11,Thomson_Reuters,0,0,0,0,0,1
2021-03-24,The_Jakarta_Post,0,0,0,0,0,1
2020-11-27,Financial_Times,1,0,0,0,1,1
2020-08-13,Thomson_Reuters,0,0,0,0,0,2
2020-08-13,Thomson_Reuters,1,0,0,0,0,2
2021-09-03,The_Strait_Times,0,0,0,0,0,1
2021-08-08,The_Strait_Times,0,0,0,0,6,3
2021-05-15,New_Strait_Times,0,0,0,0,0,1
2021-12-16,Channel_News_Asia,0,0,0,0,0,1
2021-11-29,Thomson_Reuters,0,0,0,0,0,1
2021-05-15,New_Strait_Times,0,0,0,0,0,1
2021-07-13,New_Strait_Times,0,0,0,0,0,1
2021-05-03,New_Strait_Times,0,0,0,0,0,1
2021-12-01,The_Jakarta_Post,0,1,0,0,0,2
2021-06-24,The_Strait_Times,0,0,0,0,0,1
2020-12-27,New_Strait_Times,0,0,0,0,0,1
2021-04-24,New_Strait_Times,0,0,0,0,0,1
2021-05-31,New_Strait_Times,0,0,0,0,0,1
2021-02-02,New_Strait_Times,0,0,0,0,0,1
2021-06-04,New_Strait_Times,0,0,0,0,0,1
2021-11-27,The_Strait_Times,0,0,0,0,0,1
2021-11-10,The_Jakarta_Post,0,0,0,0,0,1
2021-05-24,Channel_News_Asia,0,0,0,0,0,1
2021-06-19,New_Strait_Times,0,0,0,0,0,1
2020-08-15,The_Jakarta_Post,0,0,0,0,0,1
2020-08-22,The_Jakarta_Post,0,0,0,1,0,1
2021-05-27,New_Strait_Times,0,0,0,0,0,1
2021-11-30,The_Strait_Times,0,0,0,0,0,1
2020-03-02,The_Jakarta_Post,0,0,0,1,0,1
2021-10-28,New_Strait_Times,0,0,0,0,0,1
2021-01-18,Channel_News_Asia,0,0,0,0,0,1
2021-04-24,New_Strait_Times,0,0,0,0,0,1
2020-07-18,The_Jakarta_Post,0,0,0,0,0,1
2021-07-23,Thomson_Reuters,0,0,0,0,0,1
2021-08-28,The_Wall_Street_Journal,0,0,0,0,0,3
2021-05-02,New_Strait_Times,0,0,0,0,0,1
2021-02-25,Financial_Times,4,1,1,0,1,4
2020-10-15,Viet_Nam_News,0,0,0,0,0,1
2021-05-18,New_Strait_Times,0,0,0,0,0,1
2020-11-06,Viet_Nam_News,0,0,0,0,0,1
2021-12-21,New_Strait_Times,0,2,0,0,0,2
2021-08-06,Thomson_Reuters,0,0,0,0,0,1
2021-05-24,New_Strait_Times,0,0,0,0,0,1
2021-04-27,New_Strait_Times,0,0,0,0,0,1
2021-12-15,Thomson_Reuters,0,0,0,0,0,1
2021-11-27,The_Strait_Times,0,0,0,0,0,1
2020-10-20,Channel_News_Asia,0,0,0,0,0,1
2021-05-24,New_Strait_Times,0,0,0,0,0,1
2021-05-25,New_Strait_Times,0,0,0,0,0,1
2013-11-24,The_Jakarta_Post,0,0,0,1,0,3
2001-12-26,The_Wall_Street_Journal,0,1,0,0,0,1
2017-06-20,The_Jakarta_Post,0,0,0,0,0,1
2015-09-07,The_Jakarta_Post,0,0,0,0,0,2
2015-09-28,The_Wall_Street_Journal,0,0,0,0,0,1
2019-07-05,Channel_News_Asia,0,0,0,0,1,2
2018-11-03,Channel_News_Asia,0,0,0,0,0,1
2019-03-20,Channel_News_Asia,0,0,0,0,0,2
2009-03-05,The_Wall_Street_Journal,0,0,0,0,1,1
2019-01-28,The_Jakarta_Post,0,0,0,0,0,1
2005-05-12,The_Wall_Street_Journal,0,0,0,0,0,1
2019-08-20,The_Jakarta_Post,0,0,0,0,0,2
2018-07-09,The_Jakarta_Post,0,0,0,0,0,1
2018-07-07,The_Jakarta_Post,0,0,0,0,0,1
2018-07-18,Thomson_Reuters,0,0,0,0,0,1
2011-03-15,The_Wall_Street_Journal,0,0,0,0,1,1
2015-05-05,The_Wall_Street_Journal,0,0,0,0,0,1
2018-04-25,Channel_News_Asia,0,0,0,0,0,1
2019-10-09,The_Jakarta_Post,0,0,0,0,0,2
2016-05-25,The_Jakarta_Post,0,0,0,0,1,1
2018-06-09,Thomson_Reuters,0,0,0,0,0,1
2018-02-02,The_Jakarta_Post,0,0,0,0,0,1
2015-11-12,Thomson_Reuters,2,0,0,0,0,1
2018-04-23,The_Wall_Street_Journal,0,0,0,0,0,1
1999-05-17,The_Wall_Street_Journal,0,0,0,0,0,1
2019-06-27,Channel_News_Asia,0,0,0,0,0,2
2018-08-23,The_Jakarta_Post,0,0,0,0,0,2
2017-07-04,The_Wall_Street_Journal,0,0,0,0,0,1
2019-03-20,Channel_News_Asia,0,0,0,0,0,2
2002-07-10,The_Wall_Street_Journal,0,0,0,0,2,1
2016-10-25,The_Wall_Street_Journal,1,0,0,0,0,2
2017-11-15,The_Jakarta_Post,0,0,0,0,0,1
2018-01-10,The_Jakarta_Post,0,0,0,0,1,1
2017-06-06,The_Wall_Street_Journal,0,0,1,0,0,1
2018-01-19,The_Jakarta_Post,0,0,0,0,0,1
2006-04-07,The_Wall_Street_Journal,0,0,0,0,1,1
2019-07-01,Channel_News_Asia,0,0,0,0,1,2
2018-08-31,The_Jakarta_Post,0,0,0,0,0,1
2015-09-27,The_Wall_Street_Journal,0,0,1,0,0,1
2015-10-05,The_Jakarta_Post,0,0,0,0,0,2
2017-07-21,Viet_Nam_News,0,0,0,0,0,3
2024-12-10,API_NEWS_en,0,0,0,0,1,1
2024-12-10,API_NEWS_en,0,0,1,0,0,1
2014-09-15,The_Wall_Street_Journal,0,0,0,0,0,1
2015-07-16,The_Wall_Street_Journal,0,0,0,0,0,1
2024-11-27,API_NEWS_en,1,0,0,0,0,1
2016-07-18,Thomson_Reuters,1,0,1,0,0,1
2016-05-11,Thomson_Reuters,0,0,1,0,0,1
2016-12-29,Thomson_Reuters,0,0,0,0,0,1
2003-04-25,The_Wall_Street_Journal,0,0,1,0,0,1
2012-04-20,The_Wall_Street_Journal,0,0,0,0,0,1
2022-09-23,Thomson_Reuters,1,1,0,0,0,1
2022-11-13,Taipei_Times,1,1,2,0,0,1
2020-03-03,Thomson_Reuters,0,0,0,0,0,1
2020-04-29,Thomson_Reuters,0,0,0,0,0,1
2020-03-09,The_Wall_Street_Journal,2,0,2,0,0,2
2021-07-20,Thomson_Reuters,1,0,2,0,0,1
2020-04-30,Thomson_Reuters,0,0,0,0,0,1
2020-07-02,Thomson_Reuters,1,0,0,0,0,1
2021-07-20,Thomson_Reuters,1,0,2,0,0,1
2020-01-08,Thomson_Reuters,0,0,0,0,0,1
2020-02-14,Thomson_Reuters,0,0,0,0,0,1
