date,source,supply_side,demand_side,financial_risk,geopolitical_risk,esg_regulation,natural_factor,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,dominant_LDA_topic,dominant_dictionary_topic
2019-03-17,Thomson_Reuters,1,0,2,0,0,1,0.07156342,0.0,0.14238626,0.78571373,0.0,3,financial_risk
2017-04-13,Thomson_Reuters,0,0,1,0,0,1,0.17407942,0.0,0.22410995,0.6015522,0.0,3,financial_risk
2015-03-09,Thomson_Reuters,0,0,0,0,0,1,0.113802336,0.0,0.0,0.88536334,0.0,3,natural_factor
2017-11-08,Thomson_Reuters,0,0,0,0,0,1,0.0,0.0,0.0,0.99261725,0.0,3,natural_factor
2016-08-17,Thomson_Reuters,1,0,0,0,1,1,0.0,0.0,0.0,0.99015677,0.0,3,supply_side
2015-03-24,Thomson_Reuters,0,0,1,0,0,1,0.0,0.0,0.0,0.9988556,0.0,3,financial_risk
2019-10-14,Thomson_Reuters,1,0,0,0,0,1,0.0,0.0,0.327063,0.67190105,0.0,3,supply_side
2014-02-26,Thomson_Reuters,0,0,0,0,0,1,0.18403754,0.0,0.39675266,0.36513382,0.05392924,2,natural_factor
2015-03-09,Thomson_Reuters,0,0,2,0,0,1,0.11668511,0.0,0.0,0.88262147,0.0,3,financial_risk
2018-02-22,Thomson_Reuters,0,0,1,0,0,1,0.0,0.0,0.23661937,0.7599537,0.0,3,financial_risk
2015-03-09,Thomson_Reuters,0,0,2,0,0,1,0.103530794,0.0,0.0,0.89577556,0.0,3,financial_risk
2019-09-16,Thomson_Reuters,0,0,1,0,0,1,0.06940366,0.0,0.02898812,0.9013136,0.0,3,financial_risk
2015-03-24,Thomson_Reuters,0,0,3,0,0,1,0.030387007,0.0,0.0,0.9687243,0.0,3,financial_risk
2019-10-28,Thomson_Reuters,2,0,0,0,0,2,0.030367022,0.0,0.0,0.9690413,0.0,3,supply_side
2018-01-31,Thomson_Reuters,1,0,0,0,0,1,0.078184694,0.0,0.1722831,0.7490274,0.0,3,supply_side
2015-03-07,Thomson_Reuters,1,0,0,0,0,1,0.06110172,0.0,0.2645405,0.6739006,0.0,3,supply_side
2015-03-13,Thomson_Reuters,1,0,0,0,0,1,0.082274646,0.0,0.32095844,0.57749856,0.01918088,3,supply_side
2017-06-22,Thomson_Reuters,3,0,1,0,0,1,0.116355665,0.0,0.0,0.88303787,0.0,3,supply_side
2017-04-13,Thomson_Reuters,0,0,1,0,0,1,0.17237106,0.0,0.22080572,0.6065648,0.0,3,financial_risk
2013-11-11,Thomson_Reuters,2,0,0,0,0,1,0.24597596,0.0,0.14713144,0.53712606,0.06971281,3,supply_side
2014-11-05,Thomson_Reuters,1,0,0,0,0,1,0.057332102,0.0,0.5703576,0.34633243,0.0258222,2,supply_side
2019-03-15,Thomson_Reuters,1,0,2,0,0,1,0.08849324,0.0,0.12931353,0.7818673,0.0,3,financial_risk
2019-04-04,Thomson_Reuters,1,0,1,0,0,1,0.0,0.0,0.14320776,0.85586977,0.0,3,supply_side
2015-03-09,Thomson_Reuters,0,0,1,0,0,1,0.0,0.0,0.060591046,0.9387096,0.0,3,financial_risk
2018-06-14,Thomson_Reuters,2,0,1,0,0,1,0.09690326,0.0,0.23110186,0.67178655,0.0,3,supply_side
2015-03-27,Thomson_Reuters,1,0,0,0,0,1,0.45168296,0.0,0.02772918,0.51530945,0.0,3,supply_side
2014-12-08,Thomson_Reuters,0,0,0,0,0,1,0.0,0.0,0.14555705,0.85249066,0.0,3,natural_factor
2014-12-03,Thomson_Reuters,0,0,0,0,0,1,0.0,0.0,0.3965097,0.60116917,0.0,3,natural_factor
2016-05-16,Thomson_Reuters,2,0,1,0,0,2,0.0,0.0,0.27583435,0.72346807,0.0,3,supply_side
2020-01-03,Thomson_Reuters,1,0,1,0,0,1,0.0,0.0,0.14043622,0.85849506,0.0,3,supply_side
2020-10-05,Channel_News_Asia,1,1,2,0,0,1,0.0,0.0,0.20269792,0.79617643,0.0,3,financial_risk
2020-10-05,Thomson_Reuters,1,1,2,0,0,1,0.0,0.0,0.19284357,0.80595714,0.0,3,financial_risk
2020-11-02,Thomson_Reuters,1,1,2,0,0,1,0.0,0.0,0.0,0.99829143,0.0,3,financial_risk
2020-10-21,Channel_News_Asia,1,0,2,0,0,1,0.0,0.0,0.122376375,0.86788243,0.0,3,financial_risk
2020-10-21,Thomson_Reuters,1,0,3,0,0,1,0.0,0.010482236,0.11855884,0.8704658,0.0,3,financial_risk
2020-01-02,Thomson_Reuters,1,0,1,0,0,1,0.0,0.0,0.14043756,0.85849375,0.0,3,supply_side
2020-11-03,Thomson_Reuters,2,0,1,0,0,1,0.0,0.0,0.07110752,0.9277486,0.0,3,supply_side
2020-04-05,The_Wall_Street_Journal,2,2,1,0,0,3,0.19190104,0.0,0.19303496,0.61489886,0.0,3,natural_factor
2020-04-01,The_Wall_Street_Journal,3,0,1,0,0,2,0.034061544,0.0,0.33040902,0.63527143,0.0,3,supply_side
2020-02-03,The_Wall_Street_Journal,1,0,6,0,0,2,0.15853843,0.0,0.0,0.840658,0.0,3,financial_risk
2020-02-29,The_Wall_Street_Journal,2,0,1,0,0,1,0.159445,0.0,0.0,0.8340228,0.0,3,supply_side
2020-03-11,Financial_Times,1,0,6,1,0,1,0.3768432,0.0,0.17888543,0.4323729,0.0,3,financial_risk
2020-04-15,The_Wall_Street_Journal,1,0,1,0,0,1,0.24695194,0.012478211,0.021919165,0.71282053,0.0,3,supply_side
